                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2344,                 1.5258,                0.83419,                    0.8,                0.53444,                0.55382,                0.35649,                0.98083,                0.98505,                0.80263,             0.00040598,             0.00040598,             0.00040598
                      2,                 1.1787,                0.74524,                0.81456,                 0.6718,                0.48224,                 0.5438,                0.30434,                 1.1162,                0.78772,                0.81263,             0.00081451,             0.00081451,             0.00081451
                      3,                 1.2743,                0.70716,                0.81912,                0.75967,                0.61418,                0.62251,                0.38986,                 1.0378,                0.99888,                 0.8091,              0.0012148,              0.0012148,              0.0012148
                      4,                 1.2172,                0.65804,                 0.8175,                0.86091,                0.50053,                0.61705,                0.37589,                 1.1246,                0.61348,                0.82218,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1143,                0.61588,                0.81096,                0.81066,                0.67932,                0.70575,                0.44742,                 1.0524,                0.58505,                 0.8109,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.1341,                0.60818,                 0.8099,                0.83507,                0.70122,                0.75463,                0.46543,                0.97549,                0.57316,                0.80474,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.0721,                0.55362,                0.80273,                 0.7007,                0.67695,                0.70266,                0.45261,                0.93632,                 0.5327,                0.80392,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.0203,                0.51466,                0.80092,                0.82766,                0.67562,                0.71979,                 0.4549,                0.95657,                0.51876,                0.80895,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.0464,                0.52394,                0.80262,                0.75345,                0.70831,                0.73881,                0.45943,                0.96027,                0.51061,                  0.805,               0.001151,               0.001151,               0.001151
                     10,                 1.0829,                 0.5302,                0.80446,                0.69402,                0.66942,                0.69142,                0.40054,                   1.13,                0.55795,                0.82074,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.0959,                0.54368,                0.80497,                0.88662,                0.70965,                0.75809,                0.49142,                0.93218,                0.45619,                0.80209,              0.0011263,              0.0011263,              0.0011263
                     12,                0.99422,                0.49573,                0.79876,                0.92664,                0.67545,                 0.7803,                0.52024,                0.86802,                0.45056,                0.79717,              0.0011139,              0.0011139,              0.0011139
                     13,                0.97663,                0.47906,                 0.7965,                0.86131,                0.70876,                0.77748,                0.51555,                0.87553,                0.44067,                0.80026,              0.0011015,              0.0011015,              0.0011015
                     14,                 0.9889,                0.47491,                 0.7968,                 0.8774,                0.72014,                0.76937,                0.49052,                0.90341,                0.44417,                0.80318,              0.0010891,              0.0010891,              0.0010891
                     15,                0.99319,                0.47312,                0.79699,                0.84376,                0.74361,                0.77441,                0.50556,                0.93396,                0.46075,                0.80625,              0.0010768,              0.0010768,              0.0010768
                     16,                0.96609,                0.45726,                0.79756,                0.91018,                0.68192,                0.74972,                0.51549,                0.84837,                0.42915,                0.80077,              0.0010644,              0.0010644,              0.0010644
                     17,                0.94969,                0.45351,                0.79425,                0.86943,                0.73024,                 0.7807,                0.53063,                0.85121,                0.44032,                0.79821,               0.001052,               0.001052,               0.001052
                     18,                0.93538,                0.44589,                0.79015,                0.92845,                0.66667,                0.75845,                0.51665,                0.91695,                0.44675,                0.80161,              0.0010396,              0.0010396,              0.0010396
                     19,                0.99149,                0.48084,                0.79846,                0.88456,                0.72896,                0.80159,                0.52493,                0.97325,                0.46827,                0.80685,              0.0010273,              0.0010273,              0.0010273
                     20,                0.96251,                0.47775,                0.79621,                0.87126,                0.71612,                0.77522,                0.50656,                0.87997,                0.45115,                0.80152,              0.0010149,              0.0010149,              0.0010149
                     21,                0.92587,                0.46161,                0.79315,                0.85189,                0.71917,                0.76687,                0.52744,                0.88895,                0.46322,                0.80024,              0.0010025,              0.0010025,              0.0010025
                     22,                 0.9183,                0.43969,                 0.7925,                0.90717,                0.69849,                0.77957,                0.51572,                0.85698,                0.41758,                0.80167,             0.00099013,             0.00099013,             0.00099013
                     23,                0.86636,                0.41752,                0.78858,                0.90349,                0.71523,                0.81233,                0.54917,                0.80704,                0.40411,                0.79623,             0.00097775,             0.00097775,             0.00097775
                     24,                0.85659,                0.40728,                0.78637,                0.83162,                0.72281,                0.77196,                0.52188,                0.86807,                0.41251,                 0.7996,             0.00096537,             0.00096537,             0.00096537
                     25,                0.90447,                0.42711,                0.79058,                0.93646,                0.69976,                0.78067,                0.52809,                   0.85,                0.42229,                0.80044,               0.000953,               0.000953,               0.000953
                     26,                0.87527,                0.41646,                0.79125,                0.88227,                0.71643,                 0.7666,                0.52444,                0.84218,                0.43109,                0.79863,             0.00094062,             0.00094062,             0.00094062
                     27,                0.92773,                0.44541,                0.79103,                0.84046,                0.64823,                0.72708,                0.46336,                 1.0973,                0.50665,                0.81621,             0.00092825,             0.00092825,             0.00092825
                     28,                0.96285,                0.47079,                0.79497,                0.77606,                0.68251,                0.72282,                0.48572,                0.92283,                0.46472,                0.80807,             0.00091588,             0.00091588,             0.00091588
                     29,                0.93017,                 0.4612,                0.79115,                0.84558,                0.76999,                0.77038,                0.54727,                0.83722,                0.44454,                 0.7979,              0.0009035,              0.0009035,              0.0009035
                     30,                0.89489,                0.43594,                0.79237,                0.85927,                0.72862,                0.78551,                0.53743,                0.81645,                0.39589,                0.79534,             0.00089112,             0.00089112,             0.00089112
                     31,                0.88963,                0.42672,                0.78842,                0.92007,                0.69892,                0.78608,                0.54817,                0.82026,                0.39959,                0.79918,             0.00087875,             0.00087875,             0.00087875
